model,pre_mean_dx,post_mean_dx,delta_dx
Vanilla,0.21742708912413372,0.29146935120224954,0.07404226207811582
Nomadic_Blind,0.21742708912413372,0.29146935120224954,0.07404226207811582
Nomadic_Full,0.21742708912413372,0.29146935120224954,0.07404226207811582
MoD,0.21742708912413372,0.29146935120224954,0.07404226207811582
ECR,0.21742708912413372,0.29146935120224954,0.07404226207811582
Sigma_MoE,0.21742708912413372,0.29146935120224954,0.07404226207811582
BiLevel_MoE,0.21742708912413372,0.29146935120224954,0.07404226207811582
RoutingFree_MoE,0.21742708912413372,0.29146935120224954,0.07404226207811582
Nomadic_NoDx,0.21742708912413372,0.29146935120224954,0.07404226207811582
Nomadic_NoEnv,0.21742708912413372,0.29146935120224954,0.07404226207811582
Nomadic_NoErr,0.21742708912413372,0.29146935120224954,0.07404226207811582
