model,domain,entropy,perplexity,switch_rate,load_cv,load_entropy,settling_time,oscillation,phase
Nomadic_Full,math,0.20360014401376247,1.3616824080495347,0.7,0.7786205750225442,1.3072313087651681,1.3928571428571428,0.05263157894736842,stable
Nomadic_NoDx,math,0.021842220201016182,1.007056678549792,0.0,0.0,-1.000000082690371e-10,40.0,0.0,stable
Nomadic_NoEnv,math,0.025689813598966004,1.0101554682095417,0.0,0.0,-1.000000082690371e-10,40.0,0.0,stable
Nomadic_NoErr,math,0.2056573387235403,1.1586051695666681,0.825,0.8246211249998389,1.4274262398187547,1.1818181818181819,0.21052631578947367,stable
Nomadic_Full,math,0.46657509696669874,1.4980292463557192,0.575,0.758287544310369,1.3259517491707566,1.6956521739130435,0.07894736842105263,stable
Nomadic_NoDx,math,0.11295365458546262,1.0836500750192861,0.0,0.0,-1.000000082690371e-10,40.0,0.0,stable
Nomadic_NoEnv,math,0.11674682386411413,1.086293126084997,0.0,0.0,-1.000000082690371e-10,40.0,0.0,stable
Nomadic_NoErr,math,0.36050543521705547,1.3033783655831601,0.55,0.9253377760504201,1.2387478575761188,1.7727272727272727,0.18421052631578946,stable
Nomadic_Full,code,0.4628949726000428,1.7693262366750502,0.65,0.7745966690865641,1.8072781838057925,1.5,0.18421052631578946,stable
Nomadic_NoDx,code,0.05371879523417267,1.1351440699986866,0.0,0.0,-1.000000082690371e-10,40.0,0.0,stable
Nomadic_NoEnv,code,0.2580044321987501,1.1742112421616218,0.1,0.899999999955,0.1985152431458726,3.5,0.05263157894736842,stable
Nomadic_NoErr,code,0.6253691712394357,1.8782249404777376,0.525,0.5567764361716468,1.9143598027367652,1.8571428571428572,0.05263157894736842,stable
Nomadic_Full,code,0.6729073318099836,1.6554211033311235,0.45,1.0559356038595582,1.7182410914517319,2.1666666666666665,0.07894736842105263,stable
Nomadic_NoDx,code,0.08791252582566733,1.0631309359869432,0.0,0.0,-1.000000082690371e-10,40.0,0.0,stable
Nomadic_NoEnv,code,0.09618162743777828,1.1309096500679958,0.0,0.0,-1.000000082690371e-10,40.0,0.0,stable
Nomadic_NoErr,code,0.17489356603618944,1.112869214744321,0.125,1.1490485192126931,0.46341355852642996,7.5,0.0,stable
Nomadic_Full,language,1.280731201171875,6.021875238090543,0.575,0.5303300858236193,1.4596755105517851,1.6521739130434783,0.13157894736842105,transition
Nomadic_NoDx,language,0.47661676043644546,1.5776328026623,0.75,0.6633249579715813,1.569815438989643,1.2333333333333334,0.07894736842105263,transition
Nomadic_NoEnv,language,0.6717384329123888,1.8136393377043012,0.7,0.6910137479506104,1.5516915622439096,1.3571428571428572,0.07894736842105263,transition
Nomadic_NoErr,language,0.9522193908691406,2.1391190734747636,0.825,0.4401704214864539,1.4944614068383562,1.1515151515151516,0.13157894736842105,transition
Nomadic_Full,language,1.3262466430664062,3.125622802653994,0.625,0.6471089551963506,1.3973551326451012,1.48,0.07894736842105263,transition
Nomadic_NoDx,language,0.2004218329944706,1.1659087422414354,0.675,0.575543221589124,1.4518581103809332,1.4444444444444444,0.10526315789473684,transition
Nomadic_NoEnv,language,0.5546320036519319,1.6167450075112293,0.65,0.7778174592274205,1.0606209839631024,1.4615384615384615,0.2631578947368421,transition
Nomadic_NoErr,language,0.6765813052654266,1.90745586657224,0.675,0.787400787283071,1.46248367623057,1.4074074074074074,0.21052631578947367,transition
