model,prompt_head,pre_mean_dx,lure_mean_dx,post_mean_dx,lure_spike,recovery_steps
Vanilla,Let us compute the integral of e^x ,0.472652958546366,0.5149821692042881,0.4494320819011101,0.042329210657922056,2
Vanilla,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.5449299265940984,0.5453864786153039,0.4914486549794674,0.00045655202120542526,1
Vanilla,The eigenvalues of a symmetric matr,0.5512101958195369,0.48912339066636973,0.49895367452076506,-0.06208680515316717,1
Nomadic_Blind,Let us compute the integral of e^x ,0.472652958546366,0.5149821692042881,0.4494320819011101,0.042329210657922056,2
Nomadic_Blind,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.5449299265940984,0.5453864786153039,0.4914486549794674,0.00045655202120542526,1
Nomadic_Blind,The eigenvalues of a symmetric matr,0.5512101958195369,0.48912339066636973,0.49895367452076506,-0.06208680515316717,1
Nomadic_Full,Let us compute the integral of e^x ,0.472652958546366,0.5149821692042881,0.4494320819011101,0.042329210657922056,2
Nomadic_Full,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.5449299265940984,0.5453864786153039,0.4914486549794674,0.00045655202120542526,1
Nomadic_Full,The eigenvalues of a symmetric matr,0.5512101958195369,0.48912339066636973,0.49895367452076506,-0.06208680515316717,1
MoD,Let us compute the integral of e^x ,0.472652958546366,0.5149821692042881,0.4494320819011101,0.042329210657922056,2
MoD,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.5449299265940984,0.5453864786153039,0.4914486549794674,0.00045655202120542526,1
MoD,The eigenvalues of a symmetric matr,0.5512101958195369,0.48912339066636973,0.49895367452076506,-0.06208680515316717,1
ECR,Let us compute the integral of e^x ,0.472652958546366,0.5149821692042881,0.4494320819011101,0.042329210657922056,2
ECR,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.5449299265940984,0.5453864786153039,0.4914486549794674,0.00045655202120542526,1
ECR,The eigenvalues of a symmetric matr,0.5512101958195369,0.48912339066636973,0.49895367452076506,-0.06208680515316717,1
Sigma_MoE,Let us compute the integral of e^x ,0.472652958546366,0.5149821692042881,0.4494320819011101,0.042329210657922056,2
Sigma_MoE,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.5449299265940984,0.5453864786153039,0.4914486549794674,0.00045655202120542526,1
Sigma_MoE,The eigenvalues of a symmetric matr,0.5512101958195369,0.48912339066636973,0.49895367452076506,-0.06208680515316717,1
BiLevel_MoE,Let us compute the integral of e^x ,0.472652958546366,0.5149821692042881,0.4494320819011101,0.042329210657922056,2
BiLevel_MoE,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.5449299265940984,0.5453864786153039,0.4914486549794674,0.00045655202120542526,1
BiLevel_MoE,The eigenvalues of a symmetric matr,0.5512101958195369,0.48912339066636973,0.49895367452076506,-0.06208680515316717,1
RoutingFree_MoE,Let us compute the integral of e^x ,0.472652958546366,0.5149821692042881,0.4494320819011101,0.042329210657922056,2
RoutingFree_MoE,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.5449299265940984,0.5453864786153039,0.4914486549794674,0.00045655202120542526,1
RoutingFree_MoE,The eigenvalues of a symmetric matr,0.5512101958195369,0.48912339066636973,0.49895367452076506,-0.06208680515316717,1
Nomadic_NoDx,Let us compute the integral of e^x ,0.472652958546366,0.5149821692042881,0.4494320819011101,0.042329210657922056,2
Nomadic_NoDx,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.5449299265940984,0.5453864786153039,0.4914486549794674,0.00045655202120542526,1
Nomadic_NoDx,The eigenvalues of a symmetric matr,0.5512101958195369,0.48912339066636973,0.49895367452076506,-0.06208680515316717,1
Nomadic_NoEnv,Let us compute the integral of e^x ,0.472652958546366,0.5149821692042881,0.4494320819011101,0.042329210657922056,2
Nomadic_NoEnv,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.5449299265940984,0.5453864786153039,0.4914486549794674,0.00045655202120542526,1
Nomadic_NoEnv,The eigenvalues of a symmetric matr,0.5512101958195369,0.48912339066636973,0.49895367452076506,-0.06208680515316717,1
Nomadic_NoErr,Let us compute the integral of e^x ,0.472652958546366,0.5149821692042881,0.4494320819011101,0.042329210657922056,2
Nomadic_NoErr,피타고라스 정리에 의하면 직각삼각형의 빗변의 제곱은,0.5449299265940984,0.5453864786153039,0.4914486549794674,0.00045655202120542526,1
Nomadic_NoErr,The eigenvalues of a symmetric matr,0.5512101958195369,0.48912339066636973,0.49895367452076506,-0.06208680515316717,1
