model,domain,n_tokens,convergence_step,final_phi_mean,decay_rate
Vanilla,math,394,394,0.4030148451086841,0.0004424761588315549
Vanilla,code,346,346,0.4293883791991642,-7.373278694462501e-06
Vanilla,language,314,314,0.4357640703046133,0.00034016093367074705
Nomadic_Blind,math,394,394,0.4030148451086841,0.0004424761588315549
Nomadic_Blind,code,346,346,0.4293883791991642,-7.373278694462501e-06
Nomadic_Blind,language,314,314,0.4357640703046133,0.00034016093367074705
Nomadic_Full,math,394,394,0.4030148451086841,0.0004424761588315549
Nomadic_Full,code,346,346,0.4293883791991642,-7.373278694462501e-06
Nomadic_Full,language,314,314,0.4357640703046133,0.00034016093367074705
MoD,math,394,394,0.4030148451086841,0.0004424761588315549
MoD,code,346,346,0.4293883791991642,-7.373278694462501e-06
MoD,language,314,314,0.4357640703046133,0.00034016093367074705
ECR,math,394,394,0.4030148451086841,0.0004424761588315549
ECR,code,346,346,0.4293883791991642,-7.373278694462501e-06
ECR,language,314,314,0.4357640703046133,0.00034016093367074705
Sigma_MoE,math,394,394,0.4030148451086841,0.0004424761588315549
Sigma_MoE,code,346,346,0.4293883791991642,-7.373278694462501e-06
Sigma_MoE,language,314,314,0.4357640703046133,0.00034016093367074705
BiLevel_MoE,math,394,394,0.4030148451086841,0.0004424761588315549
BiLevel_MoE,code,346,346,0.4293883791991642,-7.373278694462501e-06
BiLevel_MoE,language,314,314,0.4357640703046133,0.00034016093367074705
RoutingFree_MoE,math,394,394,0.4030148451086841,0.0004424761588315549
RoutingFree_MoE,code,346,346,0.4293883791991642,-7.373278694462501e-06
RoutingFree_MoE,language,314,314,0.4357640703046133,0.00034016093367074705
Nomadic_NoDx,math,394,394,0.4030148451086841,0.0004424761588315549
Nomadic_NoDx,code,346,346,0.4293883791991642,-7.373278694462501e-06
Nomadic_NoDx,language,314,314,0.4357640703046133,0.00034016093367074705
Nomadic_NoEnv,math,394,394,0.4030148451086841,0.0004424761588315549
Nomadic_NoEnv,code,346,346,0.4293883791991642,-7.373278694462501e-06
Nomadic_NoEnv,language,314,314,0.4357640703046133,0.00034016093367074705
Nomadic_NoErr,math,394,394,0.4030148451086841,0.0004424761588315549
Nomadic_NoErr,code,346,346,0.4293883791991642,-7.373278694462501e-06
Nomadic_NoErr,language,314,314,0.4357640703046133,0.00034016093367074705
