model,baseline_dx,lure_spike,recovery_steps
Vanilla,0.3744178519118577,0.3424535288941115,10
Vanilla,0.36477295123040676,0.3436060193926096,2
Vanilla,0.4716889747651294,0.2105414381949231,2
DynamicTemp,0.3744178519118577,0.3424535288941115,10
DynamicTemp,0.36477295123040676,0.3436060193926096,2
DynamicTemp,0.4716889747651294,0.2105414381949231,2
StaticLoRA,0.3744178519118577,0.3424535288941115,10
StaticLoRA,0.36477295123040676,0.3436060193926096,2
StaticLoRA,0.4716889747651294,0.2105414381949231,2
FixedRouting,0.3744178519118577,0.3424535288941115,10
FixedRouting,0.36477295123040676,0.3436060193926096,2
FixedRouting,0.4716889747651294,0.2105414381949231,2
Nomadic_NoDx,0.3744178519118577,0.3424535288941115,10
Nomadic_NoDx,0.36477295123040676,0.3436060193926096,2
Nomadic_NoDx,0.4716889747651294,0.2105414381949231,2
